abandon v.   AAA/ə'bændən /   BBB bỏ, từ bỏ
owe v.   AAA/ou /   BBB nợ, hàm ơn; có được 
own adj., pron., v.   AAA/oun /   BBB của chính mình, tự mình; nhận, nhìn nhận
owner n.   AAA/´ounə /   BBB người chủ, chủ nhân
pace n.   AAA/peis /   BBB bước chân, bước
pack v., n.   AAA/pæk /   BBB gói, bọc; bó, gói
package n., v.   AAA/pæk.ɪdʒ /   BBB gói đồ, bưu kiện; đóng gói, đóng kiện
packaging n.   AAA/"pækidzŋ /   BBB bao bì
packet n.   AAA/'pækit /   BBB gói nhỏ
page n.   AAA/peidʒ /   BBB trang 
pain n.   AAA/pein /   BBB sự đau đớn, sự đau khổ
painful adj.   AAA/'peinful /   BBB đau đớn, đau khổ
paint n., v.   AAA/peint /   BBB sơn, vôi màu; sơn, quét sơn
painting n.   AAA/'peintiɳ /   BBB sự sơn; bức họa, bức tranh
painter n.   AAA/peintə /   BBB họa sĩ
pair n.   AAA/pɛə /   BBB đôi, cặp
palace n.   AAA/ˈpælɪs /   BBB cung điện, lâu đài
pale adj.   AAA/peil /   BBB taí, nhợt
pan n.   AAA/pæn - pɑ:n /   BBB xoong, chảo
panel n.   AAA/'pænl /   BBB ván ô , pa nô
pants n.   AAA/pænts /   BBB quần lót, đùi
paper n.   AAA/´peipə /   BBB giấy
parallel adj.   AAA/'pærəlel /   BBB song song, tương đương
parent n.   AAA/'peərənt /   BBB cha, mẹ
park n., v.   AAA/pa:k /   BBB công viên, vườn hoa; khoanh vùng thành công viên
parliament n.   AAA/'pɑ:ləmənt /   BBB nghi viện, quốc hội
part n.   AAA/pa:t /   BBB phần, bộ phận
particular adj.   AAA/pə´tikjulə /   BBB riêng biệt, cá biệt
particularly adv.   AAA/pə´tikjuləli /   BBB một cách đặc biệt, cá biệt, riêng biệt
partly adv.   AAA/´pa:tli /   BBB đến chừng mực nào đó, phần nào đó
partner n.   AAA/'pɑ:tnə /   BBB đối tác, cộng sự
partnership n.   AAA/´pa:tnəʃip /   BBB sự chung phần, sự cộng tác
party n.   AAA/ˈpɑrti /   BBB tiệc, buổi liên hoan; đảng
pass v.   AAA/´pa:s /   BBB qua, vượt qua, ngang qua
passing n., adj.   AAA/´pa:siη /   BBB sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi
passage n.   AAA/ˈpæsɪdʒ /   BBB sự đi qua, sự trôi qua; hành lang
passenger n.   AAA/'pæsindʤə /   BBB hành khách
passport n.   AAA/´pa:spɔ:t /   BBB hộ chiếu
past adj., n., prep., adv.   AAA/pɑ:st /   BBB quá khứ, dĩ vãng; quá, qua
path n.   AAA/pɑ:θ /   BBB đường mòn; hướng đi
patience n.   AAA/´peiʃəns /   BBB tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
patient n., adj.   AAA/'peiʃənt /   BBB bệnh nhân; kiên nhẫn, nhẫn nại, bền chí
pattern n.   AAA/'pætə n /   BBB mẫu, khuôn mẫu
pause v., n.   AAA/pɔ:z /   BBB tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng
pay v., n.   AAA/pei /   BBB trả, thanh toán, nộp; tiền lương
payment n.   AAA/'peim nt /   BBB sự trả tiền, số tiền trả, tiền bồi thường
peace n.   AAA/pi:s /   BBB hòa bình, sự hòa thuận
peaceful adj.   AAA/'pi:sfl /   BBB hòa bình, thái bình, yên tĩnh
peak n.   AAA/pi:k /   BBB lưỡi trai; đỉnh, chóp
pen n.   AAA/pen /   BBB bút
pence n.   AAA/pens /   BBB đồng xu
pencil n.   AAA/´pensil /   BBB bút chì
penny n.   AAA/´peni /   BBB số tiền
pension n.   AAA/'penʃn /   BBB tiền trợ cấp, lương hưu
people n.   AAA/ˈpipəl /   BBB dân tộc, dòng giống; người 
pepper n.   AAA/´pepə /   BBB hạt tiêu, cây ớt
per prep.   AAA/pə: /   BBB cho mỗi
perfect adj.    AAA/   BBB pə'fekt / BBB hoàn hảo
perfectly adv.   AAA/´pə:fiktli /   BBB một cách hoàn hảo
perform v.   AAA/pə´fɔ:m /   BBB biểu diễn; làm, thực hiện
performance n.   AAA/pə'fɔ:məns /   BBB sự làm, sự thực hiện, sự thi hành, sự biểu diễn
performer n.   AAA/pə´fɔ:mə /   BBB người biểu diễn, người trình diễn
perhaps adv.   AAA/pə'hæps /   BBB có thể, có lẽ
period n.   AAA/'piəriəd /   BBB kỳ, thời kỳ, thời gian; thời đại
permanent adj.   AAA/'pə:mənənt /   BBB lâu dài, vĩnh cửu, thường xuyên
permanently adv.   AAA/'pə:mənəntli /   BBB cách thường xuyên, vĩnh cửu
permission n.   AAA/pə'miʃn /   BBB sự cho phép, giấy phép
permit v.   AAA/'pə:mit /   BBB cho phép, cho cơ hội
person n.   AAA/ˈpɜrsən /   BBB con người, người
personal adj.   AAA/'pə:snl /   BBB cá nhân, tư, riêng tư
personally adv.   AAA/´pə:sənəli /   BBB đích thân, bản thân, về phần rôi, đối với tôi
personality n.   AAA/pə:sə'næləti /   BBB nhân cách, tính cách; nhân phẩm, cá tính
persuade v.   AAA/pə'sweid /   BBB thuyết phục
pet n.   AAA/pet /   BBB cơn nóng giận; vật cưng, người được yêu thích
petrol n.   AAA/ˈpɛtrəl /   BBB xăng dầu
phase n.   AAA/feiz /   BBB tuần trăng; giai đoạn, thời kỳ
philosophy n.   AAA/fɪˈlɒsəfi /   BBB triết học, triết lý
photocopy n., v.   AAA/´foutə¸kɔpi /   BBB bản sao chụp; sao chụp
photograph n., v.   AAA/´foutə¸gra:f /   BBB ảnh, bức ảnh; chụp ảnh
photographer n.   AAA/fə´tɔgrəfə /   BBB thợ chụp ảnh, nhà nhiếp ảnh
photography n.   AAA/fə´tɔgrəfi /   BBB thuật chụp ảnh, nghề nhiếp ảnh
phrase n.   AAA/freiz /   BBB câu; thành ngữ, cụm từ
physical adj.   AAA/´fizikl /   BBB vật chất; cơ thể, thân thể
physically adv.   AAA/´fizikli /   BBB về thân thể, theo luật tự nhiên
physics n.   AAA/'fiziks /   BBB vật lý học
piano n.   AAA/'pjænou /   BBB đàn pianô, dương cầm
pick v.   AAA/pik /   BBB cuốc ; đào, khoét 
picture n.   AAA/'piktʃə /   BBB bức vẽ, bức họa
piece n.   AAA/pi:s /   BBB mảnh, mẩu; đồng tiền
pig n.   AAA/pig /   BBB con lợn
pile n., v.   AAA/paɪl /   BBB cọc, chồng, đống, pin; đóng cọc, chất chồng
pill n.   AAA/´pil /   BBB viên thuốc
pilot n.   AAA/´paiələt /   BBB phi công
pin n., v.   AAA/pin /   BBB đinh ghim; ghim., kẹp
pink adj., n.   AAA/piηk /   BBB màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo
pint n.   AAA/paint /   BBB panh  ở anh bằng 0, 58 lít; ở mỹ bằng 0, 473 lít); panh, lít (bia, sữa) a pint of beer + một panh bia
pipe n.   AAA/paip /   BBB ống dẫn 
pitch n.   AAA/pit∫ /   BBB sân ; đầu hắc ín
pity n.   AAA/´piti /   BBB lòng thương hại, điều đáng tiếc, đáng thương
place n., v.   AAA/pleis /   BBB nơi, địa điểm; quảng trường
plain adj.   AAA/plein /   BBB ngay thẳng, đơn giản, chất phác
plan n., v.   AAA/plæn /   BBB bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
planning n.   AAA/plænniη /   BBB sự lập kế hoạch, sự quy hoạch
plane n.   AAA/plein /   BBB mặt phẳng, mặt bằng
planet n.   AAA/´plænit /   BBB hành tinh
plant n., v.   AAA/plænt , plɑnt /   BBB thực vật, sự mọc lên; trồng, gieo
plastic n., adj.   AAA/'plæstik /   BBB chất dẻo, làm bằng chất dẻo
plate n.   AAA/pleit /   BBB bản, tấm kim loại
platform n.   AAA/'plætfɔ:m /   BBB nền, bục, bệ; thềm, sân ga
play v., n.   AAA/plei /   BBB chơi, đánh; sự vui chơi, trò chơi, trận đấu
player n.   AAA/'pleiз /   BBB người chơi 1 trò chơi nào đó 
pleasant adj.   AAA/'pleznt /   BBB vui vẻ, dễ thương; dịu dàng, thân mật
pleasantly adv.   AAA/'plezəntli /   BBB vui vẻ, dễ thương; thân mật
unpleasant adj.   AAA/ʌn'plezənt /   BBB không dễ chịu, khó chịu, khó ưa
please exclamation, v.   AAA/pli:z /   BBB làm vui lòng, vừa lòng, mong... vui lòng, xin mời
pleasing adj.   AAA/´pli:siη /   BBB mang lại niềm vui thích; dễ chịu
pleased adj.   AAA/pli:zd /   BBB hài lòng
pleasure n.   AAA/ˈplɛʒuə  /   BBB niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích
plenty pron., adv., n., det.   AAA/'plenti /   BBB nhiều ; chỉ sự thừa; sự sung túc, sự p.phú
plot n., v.   AAA/plɔt /   BBB mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
plug n.   AAA/plʌg /   BBB nút 
plus prep., n., adj., conj.   AAA/plʌs /   BBB cộng với ; dấu cộng; cộng, thêm vào
p.m. abbr.   AAA/pip'emз /   BBB quá trưa, chiều, tối
pocket n.   AAA/'pɔkit /   BBB túi , túi tiền
poem n.   AAA/'pouim /   BBB bài thơ
poetry n.   AAA/'pouitri /   BBB thi ca; chất thơ
pointed adj.   AAA/´pɔintid /   BBB nhọn, có đầu nhọn
poison n., v.   AAA/ˈpɔɪzən /   BBB chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
poisonous adj.   AAA/pɔɪ.zən.əs /   BBB độc, có chất độc, gây chết, bệnh
pole n.   AAA/poul /   BBB người ba lan; cực 
police n.   AAA/pə'li:s /   BBB cảnh sát, công an
policy n.   AAA/'pol.ə si /   BBB chính sách
polish n., v.   AAA/'pouliʃ /   BBB nước bóng, nước láng; đánh bóng, làm cho láng
polite adj.   AAA/pəˈlaɪt /   BBB lễ phép, lịch sự
politely adv.   AAA/pəˈlaɪtli /   BBB lễ phép, lịch sự
political adj.   AAA/pə'litikl /   BBB về chính trị, về chính phủ, có tính chính trị
politically adv.   AAA/pə'litikəli /   BBB về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt
politician n.   AAA/¸pɔli´tiʃən /   BBB nhà chính trị, chính khách
politics n.   AAA/'pɔlitiks /   BBB họat động chính trị, đời sống chính trị, quan điểm chính trị
pollution n.   AAA/pəˈluʃən /   BBB sự ô nhiễm
pool n.   AAA/pu:l /   BBB vũng nước; bể bơi, hồ bơi
poor adj.   AAA/puə /   BBB nghèo
pop n., v.   AAA/pɒp; Name pɑːp /   BBB tiếp bốp, phong cách dân gian hiện đại; nổ bốp
popular adj.   AAA/´pɔpjulə /   BBB có tính đại chúng, nhân dân; được nhiều người ưa chuộng
population n.   AAA/,pɔpju'leiʃn /   BBB dân cư, dân số; mật độ dân số
port n.   AAA/pɔ:t /   BBB cảng
pose v., n.   AAA/pouz /   BBB đưa ra, đề ra, đặt; sự đặt, đề ra
position n.   AAA/pəˈzɪʃən /   BBB vị trí, chỗ
positive adj.   AAA/'pɔzətiv /   BBB xác thực, rõ ràng, tích cực, lạc quan
possess v.   AAA/pә'zes /   BBB có, chiếm hữu
possession n.   AAA/pə'zeʃn /   BBB quyền sở hữu, vật sở hữu
possibility n.   AAA/¸pɔsi´biliti /   BBB khă năng, triển vọng
possible adj.   AAA/'pɔsibəl /   BBB có thể, có thể thực hiện
possibly adv.   AAA/´pɔsibli /   BBB có lẽ, có thể, có thể chấp nhận được
post n., v.   AAA/poʊst /   BBB thư, bưu kiện; gửi thư
post office n.   AAA/'ɔfis /   BBB bưu điện
pot n.   AAA/pɒt /   BBB can, bình, lọ...
potato n.   AAA/pə'teitou /   BBB khoai tây
potential adj., n.   AAA/pəˈtɛnʃəl /   BBB tiềm năng; khả năng, tiềm lực
potentially adv.   AAA/pəˈtɛnʃəlli /   BBB tiềm năng, tiềm ẩn
pound n.   AAA/paund /   BBB pao - đơn vị đo lường
pour v.   AAA/pɔ: /   BBB rót, đổ, giội
powder n.   AAA/'paudə /   BBB bột, bụi
power n.   AAA/ˈpauə  /   BBB khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
powerful adj.   AAA/´pauəful /   BBB hùng mạnh, hùng cường
practical adj.   AAA/ˈpræktɪkəl /   BBB thực hành; thực tế
practically adv.   AAA/´præktikəli /   BBB về mặt thực hành; thực tế
practice n. , v.    AAA/´præktis /   BBB thực hành, thực tiễn
practise v.   AAA/´præktis /   BBB thực hành, tập luyện
praise n., v.   AAA/preiz /   BBB sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
prayer n.   AAA/prɛər /   BBB sự cầu nguyện
precise adj.   AAA/pri´sais /   BBB rõ ràng, chính xác; tỉ mỉ, kỹ tính
precisely adv.   AAA/pri´saisli /   BBB đúng, chính xác, cần thận
predict v.   AAA/pri'dikt /   BBB báo trước, tiên đoán, dự báo
prefer v.   AAA/pri'fə: /   BBB thích hơn
preference n.   AAA/'prefərəns /   BBB sự thích hơn, sự ưa hơn; cái được ưa thích hơn
pregnant adj.   AAA/'pregnənt /   BBB mang thai; giàu trí tưởng tượng, sáng tạo
premises n.   AAA/'premis /   BBB biệt thự
preparation n.   AAA/¸prepə´reiʃən /   BBB sự sửa soạn, sự chuẩn bị
prepare v.   AAA/pri´peə /   BBB sửa soạn, chuẩn bị
prepared adj.   AAA/pri'peəd /   BBB đã được chuẩn bị
presence n.   AAA/'prezns /   BBB sự hiện diện, sự có mặt; người, vât hiện diện
present adj., n., v.    AAA/   BBB pri'zent / BBB and /'prezәnt / BBB có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
presentation n.   AAA/,prezen'teiʃn /   BBB bài thuyết trình, sự trình diện, sự giới thiệu
preserve v.   AAA/pri'zə:v /   BBB bảo quản, giữ gìn
president n.   AAA/´prezidənt /   BBB hiệu trưởng, chủ tịnh, tổng thống
press n., v.   AAA/pres /   BBB sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
pressure n.   AAA/'preʃə /   BBB sức ép, áp lực, áp suất
presumably adv.   AAA/pri'zju:məbli /   BBB có thể được, có lẽ
pretend v.   AAA/pri'tend /   BBB giả vờ, giả bộ, làm ra vẻ
pretty adv., adj.   AAA/'priti /   BBB khá, vừa phải; xinh, xinh xắn;, đẹp 
prevent v.   AAA/pri'vent /   BBB ngăn cản, ngăn chặn, ngăn ngừa
previous adj.   AAA/ˈpriviəs /   BBB vội vàng, hấp tấp; trước , ưu tiên
previously adv.   AAA/´pri:viəsli /   BBB trước, trước đây
price n.   AAA/prais /   BBB giá
pride n.   AAA/praid /   BBB sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
priest n.   AAA/pri:st /   BBB linh mục, thầy tu
primary adj.   AAA/'praiməri /   BBB nguyên thủy, đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học
primarily adv.   AAA/´praimərili /   BBB trước hết, đầu tiên
prime minister n.   AAA/´ministə /   BBB thủ tướng
prince n.   AAA/prins /   BBB hoành tử
princess n.   AAA/prin'ses /   BBB công chúa
principle n.   AAA/ˈprɪnsəpəl /   BBB cơ bản, chủ yếu; nguyên lý, nguyên tắc
print v., n.   AAA/print /   BBB in, xuất bản; sự in ra
printing n.   AAA/´printiη /   BBB sự in, thuật in, kỹ sảo in
printer n.   AAA/´printə /   BBB máy in, thợ in
prior adj.   AAA/'praɪə  /   BBB trước, ưu tiên
priority n.   AAA/prai´ɔriti /   BBB sự ưu tế, quyền ưu tiên
prison n.   AAA/ˈprɪzən /   BBB nhà tù
prisoner n.   AAA/ˈprɪzənə  /   BBB tù nhân
private adj.   AAA/ˈpraɪvɪt /   BBB cá nhân, riêng
privately adv.   AAA/ˈpraɪvɪtli /   BBB riêng tư, cá nhân
prize n.   AAA/praiz /   BBB giải, giải thưởng
probable adj.   AAA/´prɔbəbl /   BBB có thể, có khả năng
probably adv.   AAA/´prɔbəbli /   BBB hầu như chắc chắn
problem n.   AAA/'prɔbləm /   BBB vấn đề, điều khó giải quyết
procedure n.   AAA/prə´si:dʒə /   BBB thủ tục
proceed v.   AAA/proceed /   BBB tiến lên, theo duổi, tiếp diễn
process n., v.   AAA/'prouses /   BBB quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
produce v.   AAA/'prɔdju:s /   BBB sản xuất, chế tạo
producer n.   AAA/prə´dju:sə /   BBB nhà sản xuất
product n.   AAA/´prɔdʌkt /   BBB sản phẩm
production n.   AAA/prə´dʌkʃən /   BBB sự sản xuất, chế tạo
profession n.   AAA/prə´feʃ n /   BBB nghề, nghề nghiệp
professional adj., n.   AAA/prə'feʃənl /   BBB nghề, nghề nghiệp; chuyên nghiệp
professor n.   AAA/prəˈfɛsər /   BBB giáo sư, giảng viên
profit n.   AAA/ˈprɒfɪt /   BBB thuận lợi, lợi ích, lợi nhuận
program n., v.   AAA/´prougræm /   BBB chương trình; lên chương trình
programme n.   AAA/´prougræm /   BBB chương trình
progress n., v.   AAA/'prougres /   BBB sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
project n., v.   AAA/n. ˈprɒdʒɛkt , ˈprɒdʒɪkt ; v. prəˈdʒɛkt /   BBB đề án, dự án, kế hoạch; dự kiến, kế hoạch
promote v.   AAA/prəˈmoʊt /   BBB thăng chức, thăng cấp
promotion n.   AAA/prə'mou∫n /   BBB sự thăng chức, sự thăng cấp
prompt adj., v.   AAA/prɒmpt /   BBB mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
promptly adv.   AAA/´prɔmptli /   BBB mau lẹ, ngay lập tức
pronounce v.   AAA/prəˈnaʊns /   BBB tuyên bố, thông báo, phát âm
pronunciation n.   AAA/prə¸nʌnsi´eiʃən /   BBB sự phát âm
proof n.   AAA/pru:f /   BBB chứng, chứng cớ, bằng chứng; sự kiểm chứng
proper adj.   AAA/'prɔpə /   BBB đúng, thích đáng, thích hợp
properly adv.   AAA/´prɔpəli /   BBB một cách đúng đắn, một cách thích đáng
property n.   AAA/'prɔpəti /   BBB tài sản, của cải; đất đai, nhà cửa, bất động sản
proportion n.   AAA/prə'pɔ:ʃn /   BBB sự cân xứng, sự cân đối
proposal n.   AAA/prə'pouzl /   BBB sự đề nghị, đề xuất
propose v.   AAA/prǝ'prouz /   BBB đề nghị, đề xuất, đưa ra
prospect n.   AAA/´prɔspekt /   BBB viễn cảnh, toàn cảnh; triển vọng, mong chờ
protect v.   AAA/prə'tekt /   BBB bảo vệ, che chở
protection n.   AAA/prə'tek∫n /   BBB sự bảo vệ, sự che chở
protest n., v.   AAA/ˈprəʊ.test /   BBB sự phản đối, sự phản kháng; phản đối, phản kháng
proud adj.   AAA/praud /   BBB tự hào, kiêu hãnh
proudly adv.   AAA/proudly /   BBB một cách tự hào, một cách hãnh diện
prove v.   AAA/pru:v /   BBB chứng tỏ, chứng minh
provide v.   AAA/prə'vaid /   BBB chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
provided conj.   AAA/prə´vaidid /   BBB với điều kiện là, miễn là
pint n.   AAA/paint /   BBB panh );
public adj., n.   AAA/'pʌblik /   BBB chung, công cộng; công chúng, nhân dân
publicly adv.   AAA/'pΔblikli /   BBB công khai, công cộng
publication n.   AAA/ˌpʌblɪˈkeɪʃən /   BBB sự công bố; sự xuất bản
publicity n.   AAA/pʌb'lɪsətɪ  /   BBB sự công khai, sự quảng cáo
publish v.   AAA/'pʌbli∫ /   BBB công bố, ban bố; xuất bản
publishing n.   AAA/´pʌbliʃiη /   BBB công việc, nghề xuất bản
pull v., n.   AAA/pul /   BBB lôi, kéo, giật; sự lôi kéo, sự giật
punch v., n.   AAA/pʌntʃ /   BBB đấm, thụi; quả đấm, cú thụi
punish v.   AAA/'pʌniʃ /   BBB phạt, trừng phạt
punishment n.   AAA/'pʌniʃmənt /   BBB sự trừng phạt, sự trừng trị
pupil n.   AAA/ˈpju:pl /   BBB học sinh
purchase n., v.   AAA/'pə:t∫əs /   BBB sự mua, sự tậu; mua, sắm, tậu
pure adj.   AAA/pjuə  /   BBB nguyên chất, tinh khiết, trong lành
purely adv.   AAA/´pjuəli /   BBB hoàn toàn, chỉ là
purple adj., n.   AAA/ˈpɜrpəl /   BBB tía, có màu tía; màu tía
purpose n.   AAA/'pə:pəs /   BBB mục đích, ý định
pursue v.   AAA/pә'sju: /   BBB đuổi theo, đuổi bắt
push v., n.   AAA/puʃ /   BBB xô đẩy; sự xô đẩy
put v.   AAA/put /   BBB đặt, để, cho vào
qualification n.   AAA/,kwalifi'keisn /   BBB phẩm chất, năng lực; khả năng chuyên môn
